version             name            version_id      code_name                   life        release     support     long_term   rhel        kerne                   note
debian-1.1          Debian          1.1             Buzz                        EOL         1996-06-17  -           -           -           -                       -
debian-1.2          Debian          1.2             Rex                         EOL         1996-12-12  -           -           -           -                       -
debian-1.3          Debian          1.3             Bo                          EOL         1997-06-05  -           -           -           -                       -
debian-2.0          Debian          2.0             Hamm                        EOL         1998-07-24  -           -           -           -                       -
debian-2.1          Debian          2.1             Slink                       EOL         1999-03-09  2000-10-30  -           -           -                       -
debian-2.2          Debian          2.2             Potato                      EOL         2000-08-15  2003-06-30  -           -           -                       -
debian-3.0          Debian          3.0             Woody                       EOL         2002-07-19  2006-06-30  -           -           -                       -
debian-3.1          Debian          3.1             Sarge                       EOL         2005-06-06  2008-03-31  -           -           -                       -
debian-4.0          Debian          4.0             Etch                        EOL         2007-04-08  2010-02-15  -           -           -                       -
debian-5.0          Debian          5.0             Lenny                       EOL         2009-02-14  2012-02-06  -           -           -                       -
debian-6.0          Debian          6.0             Squeeze                     EOL         2011-02-06  2014-05-31  2016-02-29  -           -                       -
debian-7.0          Debian          7.0             Wheezy                      EOL         2013-05-04  2016-04-25  2018-05-31  -           -                       -
debian-8.0          Debian          8.0             Jessie                      EOL         2015-04-25  2018-06-17  2020-06-30  -           -                       -
debian-9.0          Debian          9.0             Stretch                     EOL         2017-06-17  2020-07-18  2022-06-30  -           -                       -
debian-10.0         Debian          10.0            Buster                      EOL         2019-07-06  2022-09-10  2024-06-30  -           -                       oldoldoldstable
debian-11.0         Debian          11.0            Bullseye                    LTS         2021-08-14  2024-08-15  2026-08-31  -           5.10                    oldoldstable
debian-12.0         Debian          12.0            Bookworm                    -           2023-06-10  2026-06-10  2028-06-30  -           6.1                     oldstable
debian-13.0         Debian          13.0            Trixie                      -           2025-08-09  2028-08-09  2030-06-30  -           6.12                    stable 
debian-14.0         Debian          14.0            Forky                       -           2027-xx-xx  20xx-xx-xx  20xx-xx-xx  -           -                       testing
debian-15.0         Debian          15.0            Duke                        -           20xx-xx-xx  20xx-xx-xx  20xx-xx-xx  -           -                       -
debian-testing      Debian          testing         Testing                     -           20xx-xx-xx  20xx-xx-xx  20xx-xx-xx  -           -                       testing
debian-sid          Debian          sid             SID                         -           20xx-xx-xx  20xx-xx-xx  20xx-xx-xx  -           -                       sid
ubuntu-4.10         Ubuntu          4.10            Warty%20Warthog             EOL         2004-10-20  2006-04-30  -           -           2.6.8                   -
ubuntu-5.04         Ubuntu          5.04            Hoary%20Hedgehog            EOL         2005-04-08  2006-10-31  -           -           2.6.10                  -
ubuntu-5.10         Ubuntu          5.10            Breezy%20Badger             EOL         2005-10-12  2007-04-13  -           -           2.6.12                  -
ubuntu-6.06         Ubuntu          6.06            Dapper%20Drake              EOL         2006-06-01  2009-07-14  2011-06-01  -           2.6.15                  -
ubuntu-6.10         Ubuntu          6.10            Edgy%20Eft                  EOL         2006-10-26  2008-04-25  -           -           2.6.17                  -
ubuntu-7.04         Ubuntu          7.04            Feisty%20Fawn               EOL         2007-04-19  2008-10-19  -           -           2.6.20                  -
ubuntu-7.10         Ubuntu          7.10            Gutsy%20Gibbon              EOL         2007-10-18  2009-04-18  -           -           2.6.22                  -
ubuntu-8.04         Ubuntu          8.04            Hardy%20Heron               EOL         2008-04-24  2011-05-12  2013-05-09  -           2.6.24                  -
ubuntu-8.10         Ubuntu          8.10            Intrepid%20Ibex             EOL         2008-10-30  2010-04-30  -           -           2.6.27                  -
ubuntu-9.04         Ubuntu          9.04            Jaunty%20Jackalope          EOL         2009-04-23  2010-10-23  -           -           2.6.28                  -
ubuntu-9.10         Ubuntu          9.10            Karmic%20Koala              EOL         2009-10-29  2011-04-30  -           -           2.6.31                  -
ubuntu-10.04        Ubuntu          10.04           Lucid%20Lynx                EOL         2010-04-29  2013-05-09  2015-04-30  -           2.6.32                  -
ubuntu-10.10        Ubuntu          10.10           Maverick%20Meerkat          EOL         2010-10-10  2012-04-10  -           -           2.6.35                  -
ubuntu-11.04        Ubuntu          11.04           Natty%20Narwhal             EOL         2011-04-28  2012-10-28  -           -           2.6.38                  -
ubuntu-11.10        Ubuntu          11.10           Oneiric%20Ocelot            EOL         2011-10-13  2013-05-09  -           -           3.0                     -
ubuntu-12.04        Ubuntu          12.04           Precise%20Pangolin          EOL         2012-04-26  2017-04-28  2019-04-26  -           3.2                     -
ubuntu-12.10        Ubuntu          12.10           Quantal%20Quetzal           EOL         2012-10-18  2014-05-16  -           -           3.5                     -
ubuntu-13.04        Ubuntu          13.04           Raring%20Ringtail           EOL         2013-04-25  2014-01-27  -           -           3.8                     -
